0,182,255
0,182,255
0,182,255
0,182,255
6,182,255
17,182,255
25,182,254
31,182,253
36,182,253
40,182,252
44,181,251
47,181,251
51,181,250
54,181,249
57,181,249
59,181,248
62,181,247
64,181,246
67,181,246
69,181,245
71,181,244
73,180,244
75,180,243
77,180,242
79,180,242
81,180,241
82,180,240
84,180,240
86,180,239
87,180,238
89,180,237
90,180,237
92,179,236
93,179,235
95,179,235
96,179,234
98,179,233
99,179,233
100,179,232
102,179,231
103,179,231
104,179,230
105,179,229
107,178,229
108,178,228
109,178,227
110,178,227
111,178,226
112,178,225
113,178,224
115,178,224
116,178,223
117,178,222
118,178,222
119,177,221
120,177,220
121,177,220
122,177,219
123,177,218
124,177,218
125,177,217
126,177,216
126,177,216
127,177,215
128,177,214
129,176,214
130,176,213
131,176,212
132,176,211
133,176,211
133,176,210
134,176,209
135,176,209
136,176,208
137,176,207
138,176,207
138,176,206
139,175,205
140,175,205
141,175,204
141,175,203
142,175,203
143,175,202
144,175,201
144,175,201
145,175,200
146,175,199
147,175,199
147,174,198
148,174,197
149,174,196
149,174,196
150,174,195
151,174,194
151,174,194
152,174,193
153,174,192
153,174,192
154,174,191
155,174,190
155,173,190
156,173,189
157,173,188
157,173,188
158,173,187
158,173,186
159,173,186
160,173,185
160,173,184
161,173,184
161,173,183
162,172,182
163,172,182
163,172,181
164,172,180
164,172,180
165,172,179
165,172,178
166,172,178
167,172,177
167,172,176
168,172,176
168,171,175
169,171,174
170,171,174
170,171,173
171,171,172
171,171,172
172,171,171
173,171,171
173,170,170
174,170,170
175,170,169
175,170,169
176,170,168
177,170,167
178,169,167
178,169,166
179,169,166
180,169,165
180,169,165
181,169,164
182,168,164
182,168,163
183,168,163
184,168,162
185,168,162
185,167,162
186,167,161
187,167,161
187,167,160
188,167,160
189,167,159
189,166,159
190,166,158
191,166,158
191,166,157
192,166,157
193,165,156
193,165,156
194,165,155
195,165,155
195,165,154
196,164,154
197,164,153
197,164,153
198,164,152
198,164,152
199,163,151
200,163,151
200,163,150
201,163,150
202,163,149
202,162,149
203,162,148
203,162,148
204,162,147
205,162,147
205,161,146
206,161,146
206,161,145
207,161,145
208,161,144
208,160,144
209,160,144
209,160,143
210,160,143
211,160,142
211,159,142
212,159,141
212,159,141
213,159,140
213,159,140
214,158,139
215,158,139
215,158,138
216,158,138
216,158,137
217,157,137
217,157,136
218,157,136
219,157,135
219,156,135
220,156,134
220,156,134
221,156,133
221,156,133
222,155,132
222,155,132
223,155,131
224,155,131
224,154,130
225,154,130
225,154,129
226,154,129
226,154,128
227,153,128
227,153,127
228,153,127
228,153,126
229,152,126
229,152,125
230,152,125
230,152,125
231,152,124
231,151,124
232,151,123
233,151,123
233,151,122
234,150,122
234,150,121
235,150,121
235,150,120
236,149,120
236,149,119
237,149,119
237,149,118
238,149,118
238,148,117
239,148,117
239,148,116
240,148,116
240,147,115
241,147,115
241,147,114
242,147,114
242,146,113
243,146,113
243,146,112
244,146,112
244,145,111
245,145,111
245,145,110
245,145,110
246,144,109
246,144,109
